title|img_path|label|context
Washington Square |ml1m/content/dataset/ml1m-images\1650.jpg|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]|<pad> Washington Square is a movie about a young woman named Emily who is a successful businesswoman who is hired to work as a marketing manager for a multinational corporation. She is hired by a wealthy businessman named John to help her navigate the corporate world and start a successful business. The movie explores themes of love, wealth, and the importance of family.</s>
Net, The |ml1m/content/dataset/ml1m-images\185.jpg|[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|<pad> Net is a science fiction movie about a group of scientists who discover a new planet and discover a new species of alien life.</s>
Batman Returns |ml1m/content/dataset/ml1m-images\1377.jpg|[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]|<pad> Batman returns to the Batman universe after a long and grueling battle with the Joker, who has been a villain in the Batman franchise for years.</s>
Boys from Brazil, The |ml1m/content/dataset/ml1m-images\3204.jpg|[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|<pad> The movie Boys from Brazil is about a group of boys who are stranded in Brazil and are forced to live in a small town. They are rescued by a local boy who helps them navigate the harsh realities of life in Brazil.</s>
Dear Jesse |ml1m/content/dataset/ml1m-images\1901.jpg|[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|<pad> Dear Jesse is a movie about a man named Jesse who is a successful businessman who is struggling to make ends meet. He is a successful businessman who is struggling to make ends meet and is struggling to find his footing in the market. Jesse is a successful businessman who is struggling to make ends meet and is struggling to find his footing in the market. He is also struggling to find his footing in the market and is struggling to find his footing in the market.</s>
Jar, The (Khomreh) |ml1m/content/dataset/ml1m-images\758.jpg|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]|<pad> Jar is a movie about a young boy named Jar who is a renowned astronomer and a physicist. He is a skilled physicist who is tasked with discovering the truth about the universe and the universe. However, he is not able to find the truth and is forced to confront his own demons and fears. Eventually, he discovers that the universe is a vast and complex place, and that he must use all his knowledge and skills to find the truth.</s>
Stag |ml1m/content/dataset/ml1m-images\1636.jpg|[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]|<pad> Stag is a movie about a young boy named Stag who is a solitary figure who is rescued from a solitary prison by a fellow inmate.</s>
Police Academy 5: Assignment: Miami Beach |ml1m/content/dataset/ml1m-images\2382.jpg|[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|<pad> Police Academy 5: Assignment is a movie about a police officer who is assigned to Miami Beach as part of a mission to investigate the disappearance of a young woman. The movie follows the investigation and the investigation of the woman's disappearance, as well as the investigation into the murder of her husband and his wife. The movie explores themes of police brutality, corruption, and the importance of community service.</s>
End of the Affair, The |ml1m/content/dataset/ml1m-images\3126.jpg|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]|<pad> The movie End of the Affair is about a man named Jack who is wrongfully accused of murdering his wife and her lover. The movie explores the themes of revenge, betrayal, and the consequences of one's actions.</s>
Another Day in Paradise |ml1m/content/dataset/ml1m-images\2440.jpg|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]|<pad> The movie Another Day in Paradise is about a young boy named Jack who is a successful businessman who is tasked with repairing a broken bridge in Paradise, Mexico. He is hired by a wealthy businessman to help him repair the bridge, but he is unable to do so due to his financial struggles. Jack is tasked with repairing the bridge and restoring it to its original condition, but he is unable to do so due to his financial struggles.</s>
Midnight Dancers (Sibak) |ml1m/content/dataset/ml1m-images\794.jpg|[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]|<pad> Midnight Dancers is a movie about a group of dancers who are stranded on a deserted island during the night. They are stranded on a deserted island and must navigate through a series of challenges and obstacles to survive. Along the way, they encounter various characters and their struggles, including a sailor named Jack who is stranded on the island, a sailor named Jack who is stranded on the island, and a sailor named Jack who is stranded on the island. The movie explores themes of love, loss, and the consequences of a single night.</s>
